host_response_time,room_type,host_response_rate,host_acceptance_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_len,neighborhood_overview_len,host_verifications_len,has_wifi,has_pool,has_kitchen,has_washer,has_dryer,has_ac,has_self_checkin,has_workspace,has_pet_allowed,has_free_parking,desc_1,desc_2,desc_3,desc_4,desc_5,n_1,n_2,n_3,target
3.0,2,100.0,100.0,2.0,1.0,0.0,2,1,1,1,180,305,47,0,3,3,3,2,3,2,3,0,2,0,2,0,0.39,34,862.0,5,1,0,1,1,1,1,0,0,0,1,0.20170094978012387,0.06708551673710264,0.01692971126725295,0.08463646741058813,-0.012136629993253573,0.23353194068849964,-0.08095155382122143,-0.0521930536074595,2
4.0,1,33.0,29.0,8.0,1.0,1.0,6,3,3,3,7,1125,6,3,1,1,1,1,1,1,1,0,4,1,3,0,0.05,35,137.0,7,0,0,1,1,1,1,0,0,0,1,0.26586673080240164,-0.0411394293171554,-0.05630286224068002,-0.05324237768803424,-0.09489267679120332,0.04522848260321388,-0.03783997177009591,-0.05580652682622828,2
1.0,1,100.0,96.0,7.0,1.0,1.0,2,1,6,1,2,365,136,26,2,2,3,2,2,1,2,0,4,4,0,0,1.26,18,187.0,5,0,0,1,0,0,0,0,0,0,1,0.23802988550592447,-0.07092052172414548,0.03006137983710888,0.028950231510399452,-0.011507029388151402,0.1470997257374912,-0.05386122054519395,0.047842954262207325,2
5.0,2,0.0,0.0,2.0,1.0,0.0,2,1,1,1,2,1125,3,0,4,4,4,4,4,4,4,0,2,1,1,0,0.03,29,32.0,4,1,1,1,1,1,1,0,0,0,1,0.2071139579841796,-0.005709435052779715,0.029915738596752638,0.04496158309503483,-0.07189960017256031,0.0243693405226799,-0.03699133604208556,-0.03193077211000843,2
5.0,1,0.0,0.0,2.0,1.0,0.0,6,1,3,4,3,1125,8,0,4,4,4,4,4,2,3,0,2,1,1,0,0.08,49,32.0,4,1,1,1,1,1,1,0,0,0,1,0.11135945154761173,-0.03606781133874863,0.042857331386386706,-0.040251147497816886,-0.058938341154459256,0.0243693405226799,-0.03699133604208556,-0.03193077211000843,2
1.0,1,100.0,99.0,54.0,1.0,1.0,6,1,1,3,2,30,32,4,1,2,2,1,1,1,2,1,9,9,0,0,0.27,48,255.0,10,1,1,1,1,1,1,0,0,0,1,0.3116574784332849,0.08830345973588567,0.06497140446826402,0.07607258684848994,0.0559832709272644,0.12026625630124958,-0.16400421922780933,-0.013119056022114588,0
3.0,1,70.0,73.0,2.0,1.0,1.0,2,1,1,1,7,365,23,3,2,2,2,2,4,4,2,0,2,2,0,0,0.2,47,1000.0,4,1,0,1,1,1,1,0,0,0,1,0.23439397474150295,0.06829871576768645,0.0494938183832899,-0.009458790668905627,-0.07213642818896328,0.3670108948062161,-0.013635780984351819,-0.04555364027426336,2
5.0,1,0.0,50.0,1.0,1.0,1.0,4,1,1,3,90,3650,11,0,4,4,4,2,2,2,3,0,1,1,0,0,0.09,45,55.0,4,1,1,1,1,1,1,0,0,0,1,0.14408341449182216,0.036205162539936546,0.054964385728909215,-0.07263586035941598,0.018525372386756264,0.024686409162935123,-0.04540158219787972,0.009590738422091655,1
3.0,1,70.0,73.0,2.0,1.0,1.0,2,1,1,1,7,365,20,4,3,2,2,4,4,2,3,0,2,2,0,0,0.17,38,1000.0,4,1,0,1,1,1,1,0,0,0,1,0.24718484291127754,0.022383778580787484,0.016273575736698003,-0.052857256772471856,-0.11324768250012149,0.3670108948062161,-0.013635780984351819,-0.04555364027426336,2
5.0,4,0.0,0.0,1.0,1.0,1.0,2,1,1,2,7,14,0,0,5,5,5,5,5,5,5,0,1,0,0,1,0.0,32,0.0,7,0,0,1,1,1,1,0,0,0,1,0.0878321731763597,0.02329953116762503,0.025869479253944516,-0.05066032120852418,-0.005111333131095331,0.0,0.0,0.0,2
2.0,1,100.0,0.0,1.0,1.0,0.0,6,3,3,3,7,365,2,0,1,1,1,4,4,1,1,0,1,1,0,0,0.02,35,244.0,3,1,1,1,1,1,1,0,0,0,1,0.19503699626368984,0.0484983280431871,0.00021623607212884702,-0.03349511908380574,-0.06230907690806894,0.05806380867888595,-0.08673030127271508,-0.037599352225384366,2
