host_response_time,room_type,host_response_rate,host_acceptance_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_len,neighborhood_overview_len,host_verifications_len,has_wifi,has_pool,has_kitchen,has_washer,has_dryer,has_ac,has_self_checkin,has_workspace,has_pet_allowed,has_free_parking,desc_1,desc_2,desc_3,desc_4,desc_5,n_1,n_2,n_3,target
5.0,1,0.0,0.0,1.0,1.0,1.0,2,1,6,1,2,2,0,0,5,5,5,5,5,5,5,0,2,2,0,0,0.0,18,150.0,3,0,0,0,0,0,1,0,0,0,1,0.2929465536327162,-0.09829408868666585,-0.07454880089136592,0.08489716792244222,-0.0628172584254342,0.11141018080085731,-0.1485882452099998,-0.058896756069567284,2
1.0,1,100.0,98.0,4.0,1.0,1.0,4,1,2,2,6,365,75,13,2,2,2,1,1,2,3,1,4,4,0,0,1.01,50,255.0,7,1,0,1,1,1,1,0,0,0,1,0.3356619738399081,-0.06729177970584513,-0.014701928871301237,0.002185795129160303,-0.033156268677264705,0.13652669572202392,-0.16426553104816896,-0.0726875535932419,2
2.0,1,100.0,96.0,5.0,1.0,0.0,12,3,5,5,3,1124,64,12,2,2,1,2,2,3,2,1,5,5,0,0,0.88,47,889.0,4,1,0,1,1,1,1,0,0,0,1,0.22420864372297628,0.008678904809486169,0.03195233713578327,-0.07455213926747106,-0.07571219236804348,0.13372046110448527,-0.1517806917134311,0.0035733628161823943,1
2.0,1,100.0,96.0,5.0,1.0,0.0,2,1,1,1,7,1125,20,5,3,2,2,4,4,3,2,0,5,5,0,0,0.32,38,613.0,4,1,1,1,0,0,1,0,0,0,1,0.3073930703854132,-0.007368629596288068,-0.03451982101473713,0.04003775228424461,-0.09494072666623829,0.17506848834063485,-0.16131465666729553,0.002919849200917404,1
3.0,1,100.0,50.0,4.0,1.0,0.0,5,2,2,4,30,365,0,0,5,5,5,5,5,5,5,0,1,1,0,0,0.0,47,0.0,3,1,1,1,1,1,1,0,0,0,1,0.32267036947400174,-0.011698556201077287,-0.003179786906541049,0.01093763407914787,0.008504385764801975,0.0,0.0,0.0,2
5.0,2,0.0,33.0,1.0,1.0,0.0,2,1,1,1,1,2,0,0,5,5,5,5,5,5,5,0,1,0,1,0,0.0,28,0.0,2,0,0,0,0,0,0,0,0,0,1,0.0994524878400648,0.044016828019909894,0.0687981835581001,-0.03478078291884503,0.002761596285925456,0.0,0.0,0.0,0
1.0,2,100.0,100.0,1.0,1.0,1.0,2,1,1,1,2,14,313,56,3,3,3,3,3,2,3,0,1,0,1,0,4.05,29,376.0,9,1,0,0,0,0,1,0,0,0,1,0.5676732922587174,-0.23945906620687574,-0.15443809819627,0.11133936841186017,-0.14920250104624883,0.4183816400820876,0.25948717766975954,0.014388569252436843,0
1.0,1,100.0,97.0,6.0,1.0,1.0,6,2,2,2,7,1125,29,6,3,3,3,4,3,2,3,0,1,1,0,0,0.4,17,373.0,6,1,0,1,1,1,1,0,0,0,1,0.258823792797301,-0.046275105094364305,0.02612318846949945,-0.07907623503205942,-0.12793399821020918,0.057806243051585784,-0.06747384038888261,-0.039627963827497156,2
3.0,2,100.0,92.0,0.0,1.0,1.0,4,2,2,5,2,1125,13,5,1,1,1,2,1,1,2,0,1,0,1,0,0.52,34,0.0,6,1,0,1,1,1,1,0,0,0,1,0.14072212411167445,0.026666232509979043,-0.020252392481395137,0.023531239578645162,-0.12540388416930795,0.0,0.0,0.0,1
2.0,1,86.0,85.0,2.0,1.0,1.0,2,1,1,1,3,1125,82,1,1,1,1,2,2,2,1,0,1,1,0,0,1.05,31,113.0,6,1,0,1,1,1,1,0,0,0,1,0.16935151699492437,0.04369288417148988,0.051575977094881306,0.12270811686706336,-0.04276820260770458,0.05687014772264116,-0.11726377005804797,-0.046109091960448406,0
1.0,2,100.0,98.0,3.0,1.0,0.0,2,1,1,1,2,27,445,68,2,3,3,2,2,1,3,0,3,2,1,0,5.7,34,279.0,4,1,0,0,0,0,1,0,0,0,1,0.2449013486299699,0.014136127319346348,0.0211032172477563,0.08847769483874629,-0.0923438219174955,0.16045746839468983,-0.0403053809916042,0.009929465735134733,2
2.0,1,75.0,71.0,2.0,1.0,1.0,5,1,6,4,6,31,28,9,1,1,1,1,1,3,2,0,1,1,0,0,0.4,34,78.0,6,1,1,1,1,1,1,0,0,0,1,0.42091671930387486,-0.2235121681664124,-0.09943408261357699,0.055919616432998455,-0.0288708930627667,0.07278013496359631,-0.12622338583732856,-0.021308857597056183,2
1.0,1,100.0,100.0,14.0,1.0,1.0,4,1,1,4,5,1125,6,1,1,1,2,1,1,1,1,1,11,11,0,0,0.18,47,788.0,2,1,1,1,0,0,1,0,0,0,1,0.32963119558426957,-0.21335794789346252,-0.11356359507260154,0.05120439905662804,-0.030221555859960957,0.21779357245002487,0.10543153099811653,-0.035362719146571006,0
1.0,2,100.0,87.0,6.0,1.0,1.0,4,3,1,2,1,1125,418,32,3,3,3,2,2,2,3,0,6,0,6,0,5.36,49,303.0,5,1,0,1,1,1,1,0,0,0,1,0.19774152458239672,0.042322559518883855,0.017117049116615577,0.06521266055016131,-0.05428857108937969,0.07968903079880021,-0.11499192298310583,0.028004833832029556,2
1.0,1,100.0,97.0,9.0,1.0,1.0,4,1,1,1,14,1125,11,3,1,1,2,1,1,2,1,0,8,8,0,0,0.14,35,181.0,9,1,1,1,1,1,1,0,0,0,1,0.19860624533728283,-0.08322339635530543,-0.011357140422795125,-0.014959283034475357,-0.04040352686850864,0.20092735955725324,-0.143143250558095,0.05750625723138354,1
1.0,1,100.0,97.0,4.0,1.0,1.0,2,1,1,1,3,1125,229,26,2,2,2,2,2,1,3,1,1,1,0,0,2.98,34,293.0,6,1,0,1,0,0,1,0,0,0,1,0.20395495174283196,-0.03954348963967191,0.00026646335660561004,0.026669039519764782,-0.031209980525657433,0.09445616148563749,-0.12122277027528829,0.013656407939497042,2
1.0,1,100.0,80.0,19.0,1.0,1.0,16,3,5,5,3,1125,128,17,1,1,1,2,1,1,1,0,19,19,0,0,1.65,49,185.0,5,1,1,1,1,1,1,0,0,0,1,0.2366401297180471,-0.06947296236570122,-0.0241171212671442,-0.02529901909559768,-0.10515829036144522,0.22958865219264976,0.004480834147930221,-0.05976066230134959,2
5.0,2,0.0,67.0,3.0,1.0,0.0,2,1,1,1,2,21,52,0,3,3,3,3,3,2,3,1,3,0,3,0,0.7,31,115.0,3,1,1,0,1,1,1,0,0,0,1,0.39399595865326525,-0.15437469351688676,-0.08752999154570046,0.07565021028791077,-0.07964881233205334,0.061369400675195376,-0.07477364221007053,-0.017743141439407816,2
2.0,1,100.0,35.0,3.0,1.0,1.0,6,2,3,3,5,1125,2,1,4,4,4,4,4,4,4,0,3,3,0,0,0.06,42,172.0,4,1,0,1,1,1,1,0,0,0,1,0.2884262554816615,-0.01910270369858729,-0.07384487149758638,0.008504992603986359,-0.07031966566217979,0.038647645639467924,-0.06381464746088754,-0.023649643017736553,2
1.0,1,84.0,100.0,54.0,1.0,1.0,4,1,1,2,1,365,1,0,1,1,4,1,1,4,1,1,49,49,0,0,0.02,40,766.0,4,1,1,1,0,0,1,0,0,0,1,0.19738900033456944,-0.0887557457760201,-0.05604196958875529,-0.0006832354110156123,0.026215523053911484,0.2346920144204425,0.04450380563646507,-0.030469477523957955,2
1.0,1,84.0,100.0,54.0,1.0,1.0,4,1,1,2,1,365,7,3,1,4,1,1,1,4,1,1,49,49,0,0,0.12,31,766.0,4,1,1,1,0,0,1,0,0,0,1,0.20642986563042456,-0.09020730289440194,-0.054865234858795,0.0012739187304402564,0.016903760578390322,0.2346920144204425,0.04450380563646507,-0.030469477523957955,2
1.0,1,100.0,100.0,0.0,1.0,1.0,2,1,1,2,2,60,23,22,1,1,2,1,3,2,2,1,2,2,0,0,0.31,27,550.0,4,1,0,1,1,1,1,0,0,0,1,0.3761939224264134,-0.13541042759907554,-0.056731371030269026,0.02040914000903256,0.02144829571535252,0.18156976522085488,-0.13062875858804496,-0.015453288330146885,2
1.0,1,84.0,100.0,54.0,1.0,1.0,4,1,1,2,1,365,5,3,4,2,4,1,2,4,3,1,49,49,0,0,0.14,33,766.0,4,1,1,1,0,0,1,0,0,0,1,0.19738900033456944,-0.0887557457760201,-0.05604196958875529,-0.0006832354110156123,0.026215523053911484,0.2346920144204425,0.04450380563646507,-0.030469477523957955,2
1.0,1,84.0,100.0,54.0,1.0,1.0,4,1,2,4,1,365,4,1,1,2,1,1,1,4,1,1,49,49,0,0,0.12,34,0.0,4,1,1,1,0,0,1,0,0,0,1,0.1466408261850116,-0.05933325371138848,-0.03709356930721691,-0.015217176854632435,0.033035671838570146,0.0,0.0,0.0,2
1.0,1,84.0,100.0,54.0,1.0,1.0,4,1,1,2,1,365,1,0,1,5,5,5,5,5,5,1,49,49,0,0,0.01,35,0.0,4,1,1,1,0,0,1,0,0,0,1,0.1764907301092017,-0.0912519723522549,-0.06353287716689474,-0.01820209752961012,0.042821441405728945,0.0,0.0,0.0,2
1.0,1,84.0,100.0,54.0,1.0,1.0,6,1,2,3,1,365,38,8,1,1,1,1,1,2,1,1,49,49,0,0,0.63,29,766.0,4,1,1,1,0,0,1,0,0,0,1,0.1538494833425992,-0.06927817642534713,-0.040971780983780584,-0.0006310230533786048,0.011314784640457539,0.2346920144204425,0.04450380563646507,-0.030469477523957955,2
1.0,1,84.0,100.0,54.0,1.0,1.0,6,1,2,4,1,365,46,16,1,1,1,1,1,1,1,1,49,49,0,0,0.79,25,766.0,4,1,1,1,0,0,1,0,0,0,1,0.21423626064518483,-0.08549791697021694,-0.04888334059700097,0.0004981993776700252,0.01892901448296464,0.2346920144204425,0.04450380563646507,-0.030469477523957955,2
1.0,1,84.0,100.0,54.0,1.0,1.0,6,2,2,4,1,365,22,9,1,1,1,1,1,1,1,1,49,49,0,0,0.48,31,0.0,4,1,1,1,0,0,1,0,0,0,1,0.18484262587263164,-0.07533052558281396,-0.036650520592668566,0.02392500322750047,0.008909959312445127,0.0,0.0,0.0,2
1.0,2,100.0,100.0,0.0,1.0,1.0,2,1,1,2,30,1125,48,4,3,3,2,4,4,1,3,0,1,0,1,0,0.65,49,62.0,5,1,0,1,1,1,1,0,0,0,1,0.2146464781274128,0.029771847435695255,-0.013364878067533972,0.10156740713051231,-0.05652301699457943,0.010174747619020586,-0.01343546548471429,-0.016154844011127076,2
3.0,1,100.0,0.0,0.0,1.0,1.0,6,3,3,4,180,250,4,0,1,2,2,1,1,4,1,0,1,1,0,0,0.05,14,0.0,5,1,1,1,1,1,1,0,0,0,1,0.15674442178175807,-0.0033941676668568384,0.01963989156331265,-0.05156391834563597,-0.07916683481350284,0.0,0.0,0.0,1
3.0,1,100.0,40.0,2.0,1.0,1.0,4,2,1,1,21,250,8,1,2,4,3,4,4,4,3,0,2,2,0,0,0.1,30,175.0,5,1,1,1,0,0,1,0,0,0,1,0.07301727376913948,-0.036588871943207486,-0.02030129784325589,0.0010022114191311072,-0.013547488715641312,0.034275541672402876,-0.05505978342972231,-0.0027450240457001793,1
3.0,1,100.0,0.0,1.0,1.0,1.0,4,2,2,3,90,90,2,0,1,5,5,5,5,5,5,0,1,1,0,0,0.03,31,38.0,2,1,1,1,1,1,1,0,0,0,1,0.16864896696965218,-0.03232824435984701,0.014202338908488609,-0.07311349631469449,-0.020749110622880172,2.0970904688341244e-05,-2.4773788961850283e-05,-3.758258267511232e-05,2
1.0,1,100.0,100.0,4.0,1.0,0.0,2,1,1,1,30,365,19,5,3,4,3,4,3,1,3,1,4,4,0,0,0.26,32,242.0,4,1,0,1,1,1,1,0,0,0,1,0.25570186435524866,-0.07143916701453021,-0.009538387908346522,0.05938322723883306,0.004232176597877026,0.15714498287803133,-0.07958562047197235,0.052901133185243365,1
1.0,1,99.0,96.0,157.0,1.0,1.0,6,2,2,3,3,365,41,5,1,1,1,1,1,1,1,1,152,152,0,0,0.55,42,640.0,10,1,1,1,1,1,1,0,0,0,1,0.310944416943842,-0.09628636481700856,-0.0936519802659731,0.057177254161967894,-0.023838211687595423,0.16268701592368573,-0.22098182575991424,-0.030820712301496495,1
2.0,1,100.0,58.0,5.0,1.0,0.0,6,2,2,3,3,1125,42,8,2,2,2,2,2,1,3,0,4,4,0,0,0.56,41,0.0,3,1,0,1,1,1,1,0,0,0,1,0.211408874699874,-0.032313558351146694,0.04400241438712784,-0.09859870081688418,-0.04335665175951703,0.0,0.0,0.0,1
1.0,1,100.0,92.0,2.0,1.0,1.0,3,1,6,1,5,1125,198,23,3,3,3,2,3,2,3,1,2,1,1,0,2.58,47,0.0,5,1,0,1,0,0,1,0,0,0,1,0.3445182939982267,-0.0438216115876668,-0.02144739307208761,0.12883359237126307,-0.08652033631626682,0.0,0.0,0.0,2
2.0,1,100.0,58.0,5.0,1.0,0.0,4,1,1,1,3,1125,21,6,2,1,2,1,1,1,1,0,4,4,0,0,0.28,41,0.0,3,1,0,1,1,1,1,0,0,0,1,0.211408874699874,-0.032313558351146694,0.04400241438712784,-0.09859870081688418,-0.04335665175951703,0.0,0.0,0.0,1
3.0,1,100.0,40.0,2.0,1.0,1.0,4,2,1,1,21,250,7,1,1,1,2,2,1,2,2,0,2,2,0,0,0.11,28,0.0,5,1,1,1,0,0,1,0,0,0,1,0.1488743990889997,0.08447466228949099,0.07917555728139013,0.019970396228587085,0.010291743862878386,0.0,0.0,0.0,1
1.0,1,100.0,100.0,3.0,1.0,0.0,5,2,2,2,2,1125,135,30,3,3,3,2,3,3,4,1,2,2,0,0,1.84,43,63.0,4,1,1,1,1,1,1,0,0,0,1,0.2778768720635075,-0.0006149353425570158,-0.006616409634326626,-0.004598090349099665,-0.048505457132361984,0.07024062469932808,-0.1259427559265192,-0.003692498407540183,1
1.0,1,100.0,100.0,2.0,1.0,1.0,4,2,2,2,3,1125,99,19,2,2,1,3,3,2,2,0,1,1,0,0,1.36,41,46.0,6,1,0,1,1,1,1,0,0,0,1,0.33979469454881156,-0.09353356776438675,-0.0324504730320038,-0.026626447523401507,-0.09081945563998663,0.08379447362199868,-0.09981659833659032,-0.03655242165284599,0
1.0,1,100.0,100.0,4.0,1.0,0.0,2,1,1,1,30,365,8,1,2,4,3,2,4,1,2,0,4,4,0,0,0.12,33,256.0,4,1,0,1,1,1,1,0,0,0,1,0.218437119640554,-0.04022726009774007,-0.0013396058226683373,0.04867178111833552,0.0037226644398869304,0.1523650286202608,-0.07886196627500851,0.047390590429746436,1
3.0,1,87.0,64.0,28.0,1.0,1.0,6,1,2,3,6,21,24,17,1,3,1,1,1,2,2,0,16,16,0,0,0.33,29,331.0,8,1,1,1,1,1,1,0,0,0,1,0.0795024552463434,-0.020374982733852017,-0.027711586094781204,0.021137838898069056,-0.0009670890051943617,0.012417912213366088,-0.01179526275519054,-0.0011814432443928245,1
3.0,1,100.0,0.0,1.0,1.0,1.0,6,2,2,3,30,1125,3,0,2,4,2,4,4,4,2,0,1,1,0,0,0.04,22,46.0,6,1,1,1,1,1,1,0,0,0,1,0.16467953219394066,0.13203055544163145,0.04231006037083455,0.10505329555338203,0.0549671266174416,0.03979924950248782,-0.04759641735089003,-0.04153285809860089,1
3.0,2,85.0,93.0,4.0,1.0,0.0,2,1,1,1,3,1125,100,17,2,2,1,2,2,1,2,0,3,1,2,0,1.34,19,147.0,4,1,0,0,0,0,1,0,0,0,1,0.3290593503682935,-0.15660112739434634,-0.07765498326902072,0.08658512345434688,-0.07538122057934996,0.022819355325825484,-0.01579934101058386,-0.02010053479791311,0
1.0,1,100.0,96.0,5.0,1.0,1.0,7,3,3,3,15,120,15,1,2,1,1,1,2,1,3,0,4,3,1,0,0.2,33,138.0,7,1,0,1,1,1,1,0,0,0,1,0.32767504295047767,-0.08103543164458774,-0.06660877834526896,0.04639518789125765,-0.06918282022299849,0.10074307739622308,-0.14501164752804002,-0.018174385849040114,2
3.0,1,86.0,73.0,1.0,1.0,1.0,4,2,2,3,5,365,20,7,1,1,1,2,4,1,2,0,1,1,0,0,0.27,48,0.0,5,1,1,1,1,1,1,0,0,0,1,0.30342909084556813,0.036428852966025126,0.03534132667555466,-0.0006265257353137383,-0.022075281826502178,0.0,0.0,0.0,2
5.0,2,0.0,67.0,3.0,1.0,0.0,2,1,1,1,2,21,37,0,3,2,3,2,3,1,2,1,3,0,3,0,0.51,29,95.0,3,1,1,1,1,1,1,0,0,0,1,0.48997741511232223,-0.21053446729416656,-0.157735890142191,0.11123860994004983,-0.08790659530742324,0.013710161091825213,-0.029150116619900083,-0.016459898260157008,2
2.0,2,100.0,86.0,2.0,1.0,1.0,2,1,2,2,1,1125,47,2,3,2,3,2,2,2,3,0,2,0,2,0,0.63,49,148.0,4,1,1,1,1,1,1,0,0,0,1,0.3084145215963418,-0.029477182798842597,-0.03478488700748902,0.059248807374504386,-0.09519553686507147,0.06269875380762804,-0.10392964740142353,0.00911870260120032,1
2.0,2,100.0,86.0,2.0,1.0,1.0,2,1,1,1,1,1125,40,13,3,3,3,4,3,3,4,0,2,0,2,0,0.55,35,0.0,4,1,1,1,1,1,1,0,0,0,1,0.3071281816728022,-0.10029265004214641,-0.07494338779562522,0.03233854457208794,-0.07133677902453388,0.0,0.0,0.0,2
5.0,1,0.0,100.0,1.0,1.0,0.0,4,2,2,3,90,365,3,0,2,1,4,4,4,1,2,0,1,1,0,0,0.04,45,342.0,3,1,0,1,1,1,1,0,0,0,1,0.2527889257726529,0.062251652622627114,-0.025949139632228002,0.08273629958178955,-0.028077106444304,0.3210341397711032,-0.12184976497661477,-0.03331363727723625,0
1.0,2,100.0,85.0,1.0,1.0,1.0,2,1,1,1,3,1125,79,11,2,2,3,2,3,1,3,0,1,0,1,0,1.04,35,64.0,4,1,0,1,1,1,0,0,0,0,1,0.35417525658763854,-0.007393121613361848,-0.05275604490696278,0.07716743823724373,-0.0738784854392527,0.04189019946938078,-0.0820228440834584,-0.05613441562660979,2
5.0,1,0.0,0.0,2.0,1.0,0.0,6,2,3,4,7,60,0,0,5,5,5,5,5,5,5,0,1,1,0,0,0.0,11,785.0,2,1,1,1,1,1,1,0,0,0,1,0.2439585495551549,-0.009912004514934526,-0.012460987379175753,-0.0817669300215206,-0.08742591847454169,0.10405969515730627,-0.11805374936293683,-0.018615185620171417,1
1.0,1,100.0,87.0,2.0,1.0,1.0,2,1,1,1,3,30,123,1,3,3,3,3,3,2,4,0,2,2,0,0,1.61,35,151.0,4,1,1,0,0,0,1,0,0,0,1,0.23445796085441548,-0.04211918607498999,0.008292101489178005,0.09418753805297471,-0.04125126478532656,0.0630891495010224,-0.09559683336641692,0.00012253045630316976,2
4.0,1,0.0,0.0,3.0,1.0,1.0,7,2,2,2,1,1125,29,0,1,1,1,1,1,1,1,0,2,2,0,0,0.38,46,0.0,4,1,1,1,1,1,1,0,0,0,1,0.18792579798582862,0.14786835544587149,0.025984446585821535,0.12263967917037216,0.07620855114864852,0.0,0.0,0.0,2
2.0,1,93.0,74.0,13.0,1.0,1.0,6,2,2,5,1,1125,57,28,1,1,1,1,2,2,1,0,11,2,9,0,0.75,34,88.0,3,1,1,1,1,1,1,0,0,0,1,0.41032062012571524,-0.07805632422317187,-0.041573471953725585,0.07015492752840236,-0.030974132273027203,0.022446070794009714,-0.03314802634406669,0.006286516739589642,2
1.0,1,100.0,100.0,1.0,1.0,1.0,6,2,2,3,3,1125,140,26,1,2,1,1,1,1,1,1,1,1,0,0,1.85,26,0.0,5,1,0,1,1,1,1,0,0,0,1,0.410522024594158,-0.21983250566437185,-0.12057786248571553,0.02038687429707847,-0.005255416722253318,0.0,0.0,0.0,0
1.0,2,100.0,53.0,2.0,1.0,1.0,2,1,1,1,1,1125,43,17,3,3,3,4,3,4,4,0,2,0,2,0,0.83,40,246.0,7,1,0,0,0,0,1,0,0,0,1,0.19906260444811327,0.028582319073358335,0.05023003616881806,0.01416371511727452,-0.10803501072615257,0.07482417871637312,-0.12923079799092957,-0.020651205988472133,2
1.0,1,100.0,94.0,21.0,1.0,1.0,3,1,1,2,4,45,16,0,2,2,2,1,2,1,1,0,10,10,0,0,0.22,50,415.0,6,1,0,1,0,0,0,0,0,0,1,0.09329368328980028,-0.04616899424511655,-0.0325202625543191,0.010843196976716398,-0.00909669922564756,0.04391001655652818,-0.04065707074300749,-0.017874705984830114,2
1.0,2,100.0,92.0,2.0,1.0,1.0,2,1,1,1,4,1124,28,0,3,1,3,3,2,3,4,1,2,1,1,0,0.58,49,111.0,5,1,0,0,1,1,1,0,0,0,1,0.2953378734733142,0.03976846543560247,-0.015886730427248523,0.15328946071471444,-0.07863454806242552,0.16936952457624568,-0.038699776615502154,-0.029304181457652446,2
1.0,2,90.0,50.0,13.0,1.0,1.0,2,1,1,1,1,180,15,4,4,4,2,4,4,2,4,0,12,0,12,0,0.2,47,22.0,6,1,1,1,0,0,1,0,0,0,1,0.3383272739073123,-0.10911713722827904,-0.07895863900578957,-0.018757487744712066,-0.07411493513180488,0.008006436812069083,-0.0057494148970269315,-0.00449403792644249,0
1.0,1,100.0,41.0,1.0,1.0,1.0,2,1,1,1,4,1125,239,6,2,3,3,2,2,1,3,0,1,1,0,0,3.13,35,61.0,5,1,0,1,0,0,1,0,0,0,1,0.3648010816275328,-0.10356015189567729,-0.05811484437889701,0.11997370091921407,-0.08559876915484384,0.04385315906068551,-0.07789634811933817,-0.05556138909519241,0
2.0,2,93.0,74.0,13.0,1.0,1.0,4,1,6,2,1,1125,59,6,1,1,1,1,1,2,1,0,11,2,9,0,0.77,18,0.0,3,1,1,0,1,1,1,0,0,0,1,0.13896176690639916,0.07424999591919315,0.10064596844245138,0.10281141642867087,0.040432253428128236,0.0,0.0,0.0,2
1.0,2,80.0,27.0,4.0,1.0,1.0,4,1,1,2,1,1125,13,1,2,1,3,1,2,4,3,1,4,0,4,0,0.17,13,0.0,4,1,0,0,1,0,1,0,0,0,1,0.2870460877568416,-0.15553228223393856,-0.0624360907182261,0.08413595711819936,0.024215288829771964,0.0,0.0,0.0,1
2.0,1,95.0,77.0,7.0,1.0,0.0,4,2,2,2,30,365,2,1,4,4,4,4,4,4,1,0,6,6,0,0,0.16,23,35.0,3,1,1,1,1,1,1,0,0,0,1,0.2916366842089539,-0.11999501341537802,-0.07065334894191505,0.0273569538726917,-0.04703445759857991,0.05463603735151183,-0.10857158981436087,-0.05557847144805975,1
3.0,1,80.0,28.0,1.0,1.0,1.0,4,1,1,2,1,1125,29,8,3,3,2,2,4,2,4,0,1,1,0,0,0.39,43,29.0,6,1,0,1,1,1,1,0,0,0,1,0.319966344043503,-0.0658838063145585,-0.045182588307902054,0.10707657680897578,-0.007223838489758462,0.09439718946430273,-0.11302839450612732,-0.019378852850123984,0
1.0,1,100.0,83.0,2.0,1.0,1.0,4,1,1,3,8,1125,35,7,2,2,2,1,2,2,3,1,1,1,0,0,0.62,50,155.0,5,1,0,1,1,1,1,0,0,0,1,0.408819428705486,-0.031871003960337325,-0.057151281646358805,0.050733553116994165,0.005610301555392163,0.1076782833952929,-0.15239137577328585,-0.013621792873316985,1
1.0,1,96.0,99.0,5.0,1.0,1.0,9,3,3,3,21,1125,175,52,1,1,1,2,1,1,2,1,4,4,0,0,2.45,49,79.0,8,1,1,1,1,1,1,0,0,0,1,0.3688313332303778,-0.0801607610454245,-0.02382803086343512,0.022517749205311268,-0.04106556918365328,0.01978916556077716,-0.035299053653014514,0.019933943797339027,1
1.0,1,100.0,87.0,107.0,1.0,1.0,6,2,2,4,7,1125,5,3,4,1,4,4,4,4,1,0,50,50,0,0,0.08,46,0.0,5,1,0,1,1,1,1,0,0,0,1,0.42271793077270586,-0.055888276565065585,-0.011796454293676194,0.017757689668079845,0.061270333197888334,0.0,0.0,0.0,1
1.0,1,100.0,100.0,7.0,1.0,0.0,4,1,6,2,4,1125,110,52,2,2,2,1,2,3,3,1,7,6,1,0,1.8,33,22.0,3,1,0,1,0,0,1,0,0,0,1,0.33511566298745976,-0.1400665765731941,0.04892746326118287,-0.017573229596851044,0.02948702701017828,0.10332271637233897,-0.12236246478707845,-0.047086067999318804,2
2.0,1,100.0,82.0,2.0,1.0,1.0,2,1,1,1,3,7,46,21,4,4,4,4,4,3,4,0,2,2,0,0,0.63,49,1000.0,4,1,1,1,1,1,1,0,0,0,1,0.21358747713814827,-0.07165713505374051,-0.04970107108546213,-0.001263927462765118,-6.736258320132055e-05,0.27104871952461257,-0.05528420581556087,-0.04576873717330991,2
1.0,1,100.0,89.0,1.0,1.0,1.0,8,2,4,4,3,90,71,22,3,2,2,2,3,2,2,0,1,1,0,0,0.94,22,305.0,5,1,1,1,1,1,1,0,0,0,1,0.21759645818804726,0.02754985233069875,0.018973167367186308,-0.08097813147193625,-0.09080237728295906,0.11572215535942712,-0.1573351509811173,-0.02856531537449783,2
1.0,1,100.0,99.0,2.0,1.0,1.0,2,1,1,1,3,1125,188,32,3,2,3,3,3,1,3,0,2,2,0,0,3.05,49,18.0,4,1,0,0,0,0,1,0,0,0,1,0.31428504953080955,-0.09830451952765733,-0.009265579061303592,0.030626462997807746,-0.08161847848947176,0.03467737777360435,-0.06394917687582921,-0.06356013787298967,2
3.0,1,60.0,54.0,2.0,1.0,1.0,7,2,2,4,3,299,37,11,3,4,3,3,2,3,3,0,2,2,0,0,0.55,44,281.0,5,1,1,1,1,1,1,0,0,0,1,0.29966764767908183,-0.041397636514009885,-0.03603238990278434,-0.02331873945266002,-0.06560875672114723,0.1609023526729754,-0.20940923959798088,-0.022384665055878064,1
3.0,1,60.0,54.0,2.0,1.0,1.0,7,2,2,4,3,99,19,2,3,3,3,4,4,3,2,0,2,2,0,0,0.26,37,223.0,5,1,1,1,1,1,1,0,0,0,1,0.17397308186360952,0.023156332415878885,0.007077989928079058,-0.07689228161446544,-0.07804878706400746,0.10157078382638669,-0.12369604730978187,-0.01904530376045111,0
1.0,1,100.0,99.0,6.0,1.0,0.0,2,1,1,1,2,1125,90,19,2,2,2,2,2,1,2,0,4,4,0,0,1.19,33,105.0,3,1,1,1,1,1,1,0,0,0,1,0.4845251985683089,-0.23659538388328888,-0.1098481147352308,0.08802480946766678,-0.03291007026114124,0.07961379907703414,-0.08246629453085534,-0.02880896754467257,2
1.0,1,100.0,87.0,107.0,1.0,1.0,4,2,2,2,14,1125,1,0,1,4,4,1,4,4,1,0,50,50,0,0,0.01,35,0.0,5,1,1,1,1,1,1,0,0,0,1,0.3337480998247012,-0.03399558846173191,-0.05806921677251129,0.0961360544995356,0.03557063804498504,0.0,0.0,0.0,1
2.0,1,100.0,87.0,3.0,1.0,1.0,4,1,1,1,5,100,25,10,2,3,2,4,1,4,2,0,1,1,0,0,0.57,33,1000.0,8,1,1,1,1,1,1,0,0,0,1,0.3133836904378613,0.05349964481606933,0.011166907009882529,0.06456754831583458,0.051365046534246867,0.5273614336060183,0.202866084981484,-0.052203563408307445,1
2.0,1,100.0,81.0,2.0,1.0,1.0,4,1,6,2,4,1125,21,7,2,1,2,2,2,2,3,0,3,3,0,0,0.28,47,0.0,5,1,0,1,1,1,1,0,0,0,1,0.19337757908449238,-0.012131784589449553,0.0062615092522603985,0.1287424983340037,0.0026016776217301996,0.0,0.0,0.0,1
